"","SYMBOL"
"1132","MAVS"
"1133","SHLD1"
"1134","PLCB1"
"1135","LOC105372521"
"1136","SNAP25-AS1"
"1137","SNAP25"
"1138","SLX4IP"
"1139","FAT1P1"
"1140","LOC101929413"
"1141","LOC105372528"
"1142","LOC105372529"
"1143","LINC00687"
"1144","LOC105372531"
"1145","MACROD2"
"1146","RNA5SP475"
"1147","BANF2"
"1148","LOC105372547"
"1149","JPH2"
"1150","RNU7-92P"
"1151","SNRPFP1"
"1152","SNAI1"
"1153","PELATON"
"1154","LOC107985386"
"1155","LOC105372656"
"1156","NFATC2"
"1157","MIR3194"
"1158","TSHZ2"
"1159","PCK1"
"1160","APCDD1L"
"1161","CDH4"
"1162","GATA5"
"1163","LOC105372711"
"1164","GMEB2"
"1165","ZGPAT"
"1166","SAMD10"
"1167","ZNF512B"
"1168","LOC105379484"
"1169","LOC102724354"
"1170","CH507-42P11.6"
"1171","TEKT4P2"
"1172","LINC01667"
"1173","POTED"
"1174","LINC02246"
"1175","APP"
"1176","RUNX1"
"1177","LCA5L"
"1178","GET1"
"1179","GET1-SH3BGR"
"1180","SLC37A1"
"1181","LOC107987299"
"1182","SLC19A1"
"1183","FTCD"
"1184","COL6A2"
"1185","ADA2"
"1186","PEX26"
"1187","ARL2BPP10"
"1188","SCARF2"
"1189","MED15"
"1190","CCDC74BP1"
"1191","LINC01638"
"1192","PITPNB"
"1193","TTC28"
"1194","SYN3"
"1195","FBLN1"
"1196","CELSR1"
"1197","FAM136EP"
"1198","GRAMD4"
"1199","CERK"
"1200","EPIC1"
"1201","LOC284930"
"1202","LINC01310"
"1203","CNTN6"
"1204","RPL21P17"
"1205","LOC105376942"
"1206","GRM7"
"1207","LMCD1-AS1"
"1208","PGAM1P4"
"1209","THUMPD3-AS1"
"1210","SRGAP3"
"1211","LHFPL4"
"1212","ATP2B2"
"1213","HRH1"
"1214","ATG7"
"1215","TSEN2"
"1216","IQSEC1"
"1217","LOC105376956"
"1218","RARB"
"1219","RBMS3"
"1220","TGFBR2"
"1221","LOC105377016"
"1222","GADL1"
"1223","OSBPL10"
"1224","GPD1L"
"1225","CMTM8"
"1226","GLB1"
"1227","TMPPE"
"1228","ITGA9"
"1229","ITGA9-AS1"
"1230","OXSR1"
"1231","SCN11A"
"1232","MYRIP"
"1233","EIF1B-AS1"
"1234","ULK4"
"1235","CDCP1"
"1236","KIF9-AS1"
"1237","CDC25A"
"1238","ZNF589"
"1239","MRPS18AP1"
"1240","ARIH2"
"1241","ARIH2OS"
"1242","LAMB2"
"1243","AMT"
"1244","NICN1"
"1245","DAG1"
"1246","BSN"
"1247","GMPPB"
"1248","IP6K1"
"1249","RNF123"
"1250","CACNA2D3"
"1251","DNAH12"
"1252","ASB14"
"1253","FLNB"
"1254","ABHD6"
"1255","PXK"
"1256","FHIT"
"1257","LOC105377119"
"1258","PRICKLE2"
"1259","MAGI1"
"1260","SUCLG2-DT"
"1261","TAFA1"
"1262","LOC107986019"
"1263","TAFA4"
"1264","LMOD3"
"1265","FRMD4B"
"1266","MITF"
"1267","SAMMSON"
"1268","LINC00877"
"1269","LOC105377158"
"1270","ROBO2"
"1271","LOC105377171"
"1272","ROBO1"
"1273","LOC101927374"
"1274","OSBPL9P1"
"1275","LOC105377177"
"1276","GBE1"
"1277","LINC02008"
"1278","CD96"
"1279","CD200R1"
"1280","ITGB5"
"1281","SLC12A8"
"1282","ZNF148"
"1283","SNX4"
"1284","SLC41A3"
"1285","COL6A5"
"1286","CPNE4"
"1287","NPHP3-AS1"
"1288","TMEM108"
"1289","CDV3"
"1290","INHCAP"
"1291","TF"
"1292","STAG1"
"1293","MRPS22"
"1294","COPB2-DT"
"1295","RBP2"
"1296","NMNAT3"
"1297","CLSTN2"
"1298","LOC105374132"
"1299","SPSB4"
"1300","LINC02618"
"1301","TPT1P3"
"1302","PLSCR4"
"1303","LOC105374145"
"1304","LOC105374170"
